#qsoName		ra		dec			Z		Y		J		H		K		errZ		errY		errJ		errH		errK		
SHELLQsJ1219+0050	184.77225  	0.84375	  		-1000		-1000		22.0703		-1000		-1000		-1000		-1000		0.327022	-1000		-1000		
SHELLQsJ1400-0011	210.1199583	-0.1976388		24.171		23.6781		22.348		-1e+09		23.5305		0.632566	0.739849	0.287432	-1e+09		3.40893		
SHELLQsJ1400-0125	210.1249583	-1.4225	  		23.4412		22.7836		22.6969		22.2687		22.1179		0.270766	0.300766	0.298625	0.399633	0.41593		
SHELLQsJ1406-0116	211.6213333	-1.2697778		23.0588		22.097		21.8137		21.9319		21.7753		0.1261		0.108694	0.097828	0.234002	0.221697		
SHELLQsJ1406-0144	211.695333302	-1.7340556		23.8953		-1e+09		22.6713		22.5997		22.6011		0.332082	-1e+09		0.260375	0.510522	0.624952		
SHELLQsJ1414+0130	213.66475  	1.51013889		22.748		23.1111		23.9389		24.0824		23.8178		0.134708	0.391474	0.959899	3.04451		2.42698		
SHELLQsJ1416+0015	214.0529583	0.2628333 		-1e+09		24.1534		24.1348		-1000		-1000		-1e+09		1.23775		1.1399		-1000		-1000		
SHELLQsJ1416+0147	214.220875 	1.7839444 		23.557		23.8725		23.2417		22.3189		-1e+09		0.271175	0.752955	0.487681	0.502502	-1e+09		
SHELLQsJ1417+0117	214.369458302	1.2867778 		24.4007		23.4602		23.7178		21.9093		-1e+09		0.589144	0.512464	0.739754	0.326018	-1e+09		
SHELLQsJ1422+0011	215.5009583	0.18416670		24.5896		-1000		22.6579		-1000		25.7726		0.877529	-1000		0.511949	-1000		10.3407		
SHELLQsJ1423-0018	215.882125 	-0.3025277		24.1276		-1e+09		24.8472		23.4898		23.8241		0.500189	-1e+09		2.2973		1.80062		2.42921		
SHELLQsJ1425-0015	216.323833302	-0.2613611		22.8933		23.8614		23.4547		23.8723		22.1163		0.155353	0.815974	0.673543	2.15354		0.469411		
SHELLQsJ1429-0002	217.292583302	-0.0353889		-1e+09		27.1226		-1e+09		-1e+09		-1e+09		-1e+09		22.9341		-1e+09		-1e+09		-1e+09		
SHELLQsJ1429-0104	217.2628333	-1.0787222		-1e+09		-1e+09		-1e+09		23.8167		23.0409		-1e+09		-1e+09		-1e+09		2.01726		1.073		
SHELLQsJ1440-0107	220.005416698	-1.1172778		-1e+09		22.9705		24.8546		23.2736		22.4115		-1e+09		0.417649	2.09133		0.833998	0.496242		
SHELLQsJ2201+0155	330.383625 	1.92472219		-1000		-1000		23.0102		-1000		-1000		-1000		-1000		0.511463	-1000		-1000		
SHELLQsJ2231-0035	337.9537083	-0.5965278		-1000		-1000		22.8537		22.3728		22.9121		-1000		-1000		0.427085	0.591111	0.831465		
SHELLQsJ2304+0045	346.0957083	0.7515	  		-1000		-1000		22.7215		22.705		22.0269		-1000		-1000		0.394431	0.78915		0.421432		
VIMOS2911001793.0	334.82175  	1.0469167 		-1000		-1000		25.4008		21.8273		22.39939	-1000		-1000		3.53533		0.417479	0.63571		
PSOJ004.3936+17.0862	4.3936135  	17.0863045		-1000		-1000		20.7434		-1000		20.2849		-1000		-1000		0.080699	-1000		0.091551		
PSOJ023.0071-02.2675	23.0071	   	-2.26753  		-1000		20.1967		20.1595		19.8863		19.6976		-1000		0.112875	0.118133	0.169737	0.140151		
PSOJ029.5172-29.0886	29.5172599997	-29.08868 		19.2793		19.2111		19.1758		19.124		18.9581		0.011427	0.011954	0.021448	0.042557	0.039157		
PSOJ037.9706-28.8389	37.970657  	-28.838911		20.7367		20.9907		21.0901		-1000		20.5117		0.036876	0.084796	0.114513	-1000		0.153699		
PSOJ042.6690-02.9174	42.6690900004	-2.91745  		-1000		-1000		20.2049		-1000		20.3812		-1000		-1000		0.055411	-1000		0.163319		
