#survey qsoName              ra          dec        redshift   Z            errZ         Y             errY          J             errJ          H             errH          K             errK          unW1mag   unW1err   unW1snr    unW2mag   unW2err   unW2snr    w3mpro   w3sig   w3snr   w4mpro   w4sig   w4snr  
  DELS		J0829+4117       127.383208    41.2945555   6.77       -999.99999   -999.99999   -999.99999    -999.99999    20.261091     0.123382      -999.99999    -999.99999    -999.99999    -999.99999    17.246    0.0609    17.3209    16.6034   0.1283    7.9744     12.464   0.0     0.2     9.025    0.0     0.1    
  SDUV		J0829+2506       127.3879166   25.1126667   5.35       -999.99999   -999.99999   19.832169     0.055686      19.625656     0.045757      19.50344      0.107932      19.366137     0.094691      16.7066   0.0417    25.552     15.8611   0.0758    13.8362    11.625   0.0     1.9     8.24     0.0     1.6    
  SDSS		J0833+2726       128.3235833   27.4413889   5.02       -999.99999   -999.99999   20.629925     0.144823      20.316183     0.140056      20.160868     0.200879      19.622131     0.123127      17.1091   0.0581    18.2059    16.6346   0.1466    6.9181     11.936   0.0     1.4     8.795    0.0     0.4    
  SHELLQs	J0834+0211    128.5036667   2.1963611    6.15       -999.99999   -999.99999   22.278812     0.482702      23.441227     1.495062      -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0835+3217       128.8573333   32.2979444   5.89       -999.99999   -999.99999   -999.99999    -999.99999    21.094488     0.254324      -999.99999    -999.99999    -999.99999    -999.99999    18.0212   0.1257    8.1457     16.8501   0.1706    5.8792     -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0835+0537       128.9765132   5.6314046    5.07       -999.99999   -999.99999   19.888714     0.049229      19.577885     0.031844      19.29718      0.050951      19.121172     0.048185      16.4048   0.0302    35.3899    15.74     0.064     16.4735    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0836+0054       129.1827665   0.9147934    5.81       18.823292    0.004396     18.88367      0.005083      18.630924     0.002909      18.401804     0.023047      18.084196     0.024743      15.2677   0.012     89.9035    14.4345   0.0207    52.0419    12.571   0.53    2.0     9.006    0.0     0.0    
  DELS		J0837+4929       129.407666    49.4834444   6.71       -999.99999   -999.99999   -999.99999    -999.99999    20.306595     0.142996      -999.99999    -999.99999    -999.99999    -999.99999    17.2543   0.0611    17.2817    16.004    0.0743    14.1197    12.578   0.0     0.4     9.155    0.0     -0.2   
  SDSS		J0840+5624       130.1462615   56.4056176   5.84       -999.99999   -999.99999   -999.99999    -999.99999    19.471092     0.058587      -999.99999    -999.99999    -999.99999    -999.99999    16.8173   0.0422    25.2109    16.1939   0.0852    12.2506    12.361   0.0     0.1     8.473    0.0     1.5    
  SDSS		J0841+2905       130.3313231   29.0845966   5.98       -999.99999   -999.99999   20.354177     0.077921      20.001421     0.026735      20.205332     0.121539      19.796305     0.030445      17.1866   0.065     16.21      16.4011   0.12      8.5606     12.288   0.0     0.4     9.073    0.0     -1.5   
  SDSS		J0842+1218       130.6226384   12.3140508   6.07       -999.99999   -999.99999   -999.99999    -999.99999    19.703608     0.095302      -999.99999    -999.99999    19.379972     0.094814      16.3351   0.0292    36.7263    15.7472   0.067     15.7124    12.353   0.43    2.5     9.022    0.0     0.0    
  SHELLQs	J0844-0132    131.035875    -1.5379167   6.18       -999.99999   -999.99999   -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SHELLQs	J0844-0052    131.1316666   -0.8818333   6.25       -999.99999   -999.99999   28.911282     353.10153     25.43772      12.554456     -9.999995E8   -9.999995E8   -9.999995E8   -9.999995E8   -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0846+0800       131.6160038   8.0143655    5.0        -999.99999   -999.99999   19.72416      0.039753      19.567911     0.039856      19.356838     0.049533      19.379839     0.058612      16.9038   0.0471    22.5659    16.3865   0.1098    9.3952     12.093   0.0     0.7     8.741    0.0     0.3    
  IMS		J0850-0506        132.6173333   -5.1019167   5.36       -999.99999   -999.99999   21.788446     0.059563      22.420256     0.200779      -999.99999    -999.99999    -999.99999    -999.99999    17.4382   0.0761    13.7799    16.3371   0.1026    10.095     -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0850+3246       132.7010255   32.7799831   5.87       -999.99999   -999.99999   -999.99999    -999.99999    19.663769     0.065961      19.563025     0.057443      19.143354     0.046312      16.7028   0.0386    27.6055    15.9698   0.0775    13.521     11.959   0.0     1.0     8.592    0.0     1.3    
  SHELLQs	J0853+0139    133.4535      1.6530556    6.01       -999.99999   -999.99999   23.4428       1.170454      22.819471     0.729221      21.89451      0.798563      -9.999995E8   -9.999995E8   -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0854+2056       133.6265512   20.9474547   5.17       19.437946    0.036526     19.434507     0.031281      19.461786     0.041427      19.058043     0.037803      19.075579     0.031405      16.239    0.0274    39.0956    15.4875   0.0555    19.0652    11.648   0.0     1.9     8.842    0.0     -1.2   
