# RA         Dec         redshift  unW1mag   unW1err unW1snr    unW2mag   unW2err unW2snr    w3mpro    w3sig   w3snr  w4mpro   w4sig   w4snr
139.4914907  38.5111550  5.110     17.5866   0.0782  13.3933    16.8581   0.1558   6.4795    12.636    0.00   -0.4    8.788    0.00   -0.8  
139.6382083   1.6564722  6.190    -99.9990  -9.9900 -99.9990   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
140.3356667   0.1230278  6.560     17.3891   0.0733  14.3107   -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
140.5700563  26.8997376  5.050     17.0321   0.0522  20.3008    16.6043   0.1319   7.7393    11.937    0.00    0.9    8.730    0.00   -0.2  
140.9032672  30.1637729  5.070     17.4799   0.0754  13.9035    16.6161   0.1320   7.7345    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
140.9463333   4.0484444  6.600     16.5313   0.0351  30.4439    15.7683   0.0660  15.9651    11.955    0.00    1.3    8.404    0.00    1.2  
141.8409198  20.0232334  5.770     16.9077   0.0491  21.6287    16.5788   0.1417   7.1728    11.858    0.00    1.6    8.425    0.00    1.0  
143.2073307  12.3682803  5.020    -99.9990  -9.9900 -99.9990    16.5370   0.1277   8.0113    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
143.8471250  -2.1317778  5.320     16.8465   0.0461  23.0730    16.0548   0.0839  12.4508    12.603    0.00   -0.1    9.155    0.00   -1.0  
147.2306816  21.1087694  5.170     17.1137   0.0583  18.1177    16.4735   0.1234   8.3054    12.281    0.00    0.2    8.760    0.00    0.0  
149.2819880   6.1832069  5.140     16.0337   0.0226  47.5937    15.4645   0.0506  20.9504    11.918    0.00    1.8    8.434    0.00    1.4  
149.3008333  10.2718055  5.140     17.2231   0.0630  16.7483    16.5319   0.1261   8.1210    12.178    0.41    2.6    8.857    0.51    2.1  
149.3661115   5.3181323  5.180     16.8768   0.0467  22.7286    16.4162   0.1147   8.9768    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
