no,l,b,RA_1,DEC_1,RA(hms),DEC(dms),Name,Class,Rmag,B/Gmag,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,redshift,citation,redshift_citation,Xname,Rname,FIRST____flux(mJy),NVSS____flux(mJy),VLBI_flux__1.4GHz(mJy),VLBI_flux__1.6GHz(mJy),VLBI_flux__1.7GHz(mJy),VLBI_flux__2.3GHz(mJy),VLBI_flux__3GHz(mJy),VLBI_flux__4.3GHz(mJy),VLBI_flux__4.9GHz(mJy),VLBI_flux_5GHz(mJy),VLBI_flux__7.6GHz(mJy),VLBI_flux__8.3(mJy),VLBI_flux__8.4(mJy),VLBI_flux___8.6GHz(mJy),VLBI_flux__15GHz(mJy),VLBI_flux_22GHz(mJy),VLBI_flux__43GHz(mJy),VLBI_reference,notes
1591,117.370900,,61.753296,55.175563,13 09 51.82,+55 10 32.03,SDSS~J130951.81+551032.0,Q,20.6,23.3,24.64,23.28,20.59,19.58,19.41,0.9,0.22,0.03,0.03,0.05,4.585,2017A&A...597A..79P,2017A&A...597A..79P,,,0.151*,,,,,,,,,,,,,,,,,,
1592,311.270729,,55.903055,-6.664322,13 10 13.11,-06 39 51.56,PS1 J131013.11-063951.56,Q,,,,,,,,,,,,,5.06,2018arXiv181011927Y,2018arXiv181011927Y,,,0.139*,0,,,,,,,,,,,,,,,,,
1593,315.488993,,67.923027,5.511679,13 10 16.42,+05 30 42.04,SDSS~J131016.42+053042.0,Q,21,23.6,24.42,23.61,21.05,20.37,20.01,1.06,0.3,0.04,0.04,0.1,4.51,2012A&A...548A..66P,2017A&A...597A..79P,,,0.139*,,,,,,,,,,,,,,,,,,
1594,315.782514,,68.431212,6.031396,13 10 18.11,+06 01 53.03,SDSS~J131018.11+060153.0,Q,18.5,20.8,24.79,21.18,19.18,18.93,18.78,1.22,0.04,0.02,0.02,0.04,4.241,2005AJ....130..367S,2017A&A...597A..79P,,,0.149*,,,,,,,,,,,,,,,,,,
1595,309.336135,,44.960552,-17.674722,13 10 26.67,-17 40 29.00,BR~J1310-1740,Q,19.4,22.7,,,,,,,,,,,4.185,2001MNRAS.322..933S,2001AJ....121.1799P,,,-1,0,,,,,,,,,,,,,,,,,
1596,313.175978,,61.558641,-0.925898,13 10 52.51,-00 55 33.23,SDSS~J131052.51-005533.2,Q,18.8,21.1,23.32,20.86,18.88,18.83,18.82,0.89,0.03,0.02,0.02,0.04,4.155,2005AJ....130..367S,2017A&A...597A..79P,,,0.191*,,,,,,,,,,,,,,,,,,
1597,13.933893,,85.362292,25.535189,13 10 52.75,+25 32 06.68,PSO~J197.7198+25.5351,Q,>23.2,>23.3,,,,,,,,,,,5.84,2016ApJS..227...11B,2016ApJS..227...11B,,,0.143*,,,,,,,,,,,,,,,,,,
1598,319.679771,,73.159251,10.925045,13 10 56.86,+10 55 30.16,SDSS~J131056.86+105530.1,Q,18.6,20.9,24.11,21.01,19,18.34,18.19,1.56,0.04,0.01,0.02,0.03,4.479,2010AJ....139.2360S,2017A&A...597A..79P,,,0.15*,,,,,,,,,,,,,,,,,,
1599,313.116251,,61.082005,-1.401083,13 11 03.78,-01 24 03.90,MMK~J131103.78-012403.9,QX,20.7,22.1,,,,,,,,,,,4.39,2007ApJ...664..761M,2007ApJ...664..761M,CXOX J131103.7-012402,,0.156*,,,,,,,,,,,,,,,,,,
1600,117.327658,,60.748762,56.164991,13 11 06.21,+56 09 53.97,SDSS~J131106.20+560953.9,Q,20.1,21.6,24.24,22.02,20.41,20.11,19.92,0.62,0.07,0.03,0.03,0.08,4.212,2005AJ....130..367S,2017A&A...597A..79P,,,0.151*,,,,,,,,,,,,,,,,,,
1601,110.664264,,73.012228,43.644050,13 11 07.39,+43 38 38.58,SDSS~J131107.39+433838.5,QR,21.6,22.6,26.15,22.63,21.55,21.09,21.15,0.35,0.1,0.06,0.06,0.19,4.014,2017A&A...597A..79P,2017A&A...597A..79P,,FIRST J131107.3+433838,3.12,,,,,,,,,,,,,,,,,,
1602,45.389136,,85.535448,28.004724,13 11 11.57,+28 00 17.01,SDSS~J131111.56+280017.0,QX,20.4,21.5,23.9,21.76,20.17,19.63,19.53,0.84,0.05,0.03,0.03,0.06,4.185,2010AJ....139.2360S,2017A&A...597A..79P,3XMM J131111.6+280016,,0.154*,,,,,,,,,,,,,,,,,,
1603,348.085890,,83.503962,22.460747,13 11 21.33,+22 27 38.69,SDSS~J131121.32+222738.6,QR,21.4,24,23.1,23.99,21.42,20.2,19.9,0.44,0.4,0.05,0.04,0.1,4.609,2010AJ....139.2360S,2017A&A...597A..79P,,FIRST J131121.3+222738,6.53,,,,3.6,,,,,1.7,,,,,,,,2016MNRAS.463.3260C,
1604,103.334514,,78.112742,38.236666,13 11 37.39,+38 14 12.00,SDSS~J131137.38+381411.9,Q,20.5,21.9,24.7,21.36,20.06,19.87,19.88,0.53,0.04,0.02,0.03,0.07,4.049,2017A&A...597A..79P,2017A&A...597A..79P,,,0.139*,,,,,,,,,,,,,,,,,,
1605,117.570086,,58.892858,58.017094,13 12 21.38,+58 01 01.54,SDSS~J131221.37+580101.5,Q,19.8,21.7,25.61,21.72,19.78,19.45,19.35,0.66,0.06,0.02,0.02,0.05,4.282,2005AJ....130..367S,2017A&A...597A..79P,,,0.152*,,,,,,,,,,,,,,,,,,
1606,354.123640,,83.762018,23.121211,13 12 34.08,+23 07 16.36,SDSS~J131234.08+230716.3,Q,20.8,25.1,24.06,25.06,20.78,19.33,18.99,1.3,0.47,0.04,0.02,0.04,4.891,2010AJ....139.2360S,2017A&A...597A..79P,,,0.144*,,,,,,,,,,,,,,,,,,
1607,115.396717,,64.164488,52.646329,13 13 03.38,+52 38 46.78,SDSS~J131303.38+523846.7,Q,20.2,22.1,24.74,22.09,20.2,19.69,19.52,0.89,0.06,0.02,0.03,0.06,4.31,2017A&A...597A..79P,2017A&A...597A..79P,,,0.131*,,,,,,,,,,,,,,,,,,
1608,321.183649,,72.672500,10.577078,13 13 13.09,+10 34 37.48,SDSS~J131313.09+103437.4,Q,19.1,20.7,25.15,21.8,19.85,19.41,19.49,0.87,0.06,0.02,0.03,0.08,4.345,2010AJ....139.2360S,2017A&A...597A..79P,,,0.14*,,,,,,,,,,,,,,,,,,
1609,329.352175,,78.147793,16.413150,13 13 18.32,+16 24 47.34,SDSS~J131318.32+162447.3,Q,19.2,21.5,24.08,21.42,19.92,19.65,19.45,0.93,0.05,0.02,0.02,0.06,4.247,2010AJ....139.2360S,2017A&A...597A..79P,,,0.136*,,,,,,,,,,,,,,,,,,
1610,309.053375,,36.320764,-26.289397,13 13 26.06,-26 17 21.83,PS1 J131326.06-261721.83,Q,,,,,,,,,,,,,5.54,2018arXiv181011927Y,2018arXiv181011927Y,,,-1,0,,,,,,,,,,,,,,,,,
