# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
               SHELLQsJ1004+0239,                 163,    +151.0056667,      +2.6585278,   3,    +22.567017,     +0.074039,          0
               SHELLQsJ1004+0239,                 163,    +151.0056667,      +2.6585278,   4,    +22.441187,     +0.108648,          0
               SHELLQsJ1004+0239,                 163,    +151.0056667,      +2.6585278,   5,    +21.897070,     +0.076062,          0
                 SUVAWJ1006-0310,                 164,    +151.5608750,      -3.1751111,   2,    +19.754725,     +0.059653,          0
                 SUVAWJ1006-0310,                 164,    +151.5608750,      -3.1751111,   3,    +19.712717,     +0.048616,          0
                 SUVAWJ1006-0310,                 164,    +151.5608750,      -3.1751111,   4,    +19.309130,     +0.054800,          0
                 SUVAWJ1006-0310,                 164,    +151.5608750,      -3.1751111,   5,    +19.139460,     +0.064272,          0
                  SDSSJ1013+4240,                 165,    +153.4013916,     +42.6740006,   3,    +20.213118,     +0.144007,          0
                 SUHAWJ1016+2541,                 463,    +154.1571250,     +25.6921944,   3,    +18.819890,     +0.039096,          0
                 SUVAWJ1022+0801,                 166,    +155.5079583,      +8.0228333,   2,    +19.197910,     +0.025157,          0
                 SUVAWJ1022+0801,                 166,    +155.5079583,      +8.0228333,   3,    +19.066029,     +0.026541,          0
                 SUVAWJ1022+0801,                 166,    +155.5079583,      +8.0228333,   4,    +18.939985,     +0.031451,          0
                 SUVAWJ1022+0801,                 166,    +155.5079583,      +8.0228333,   5,    +18.805656,     +0.031028,          0
                  SDSSJ1022+2252,                 167,    +155.5418621,     +22.8737350,   3,    +19.390757,     +0.059368,          0
                  SDSSJ1026+2542,                 168,    +156.5984527,     +25.7165128,   3,    +19.452620,     +0.072039,          0
                  SDSSJ1028+0746,                 169,    +157.1393988,      +7.7719322,   2,    +19.996311,     +0.043374,          0
                  SDSSJ1028+0746,                 169,    +157.1393988,      +7.7719322,   3,    +19.847162,     +0.050386,          0
                  SDSSJ1028+0746,                 169,    +157.1393988,      +7.7719322,   4,    +19.656425,     +0.055232,          0
                  SDSSJ1028+0746,                 169,    +157.1393988,      +7.7719322,   5,    +19.597017,     +0.061164,          0
                  SDSSJ1030+0524,                 170,    +157.6129585,      +5.4152946,   2,    +19.988636,     +0.049299,          0
                  SDSSJ1030+0524,                 170,    +157.6129585,      +5.4152946,   3,    +19.893456,     +0.061291,          0
                  SDSSJ1030+0524,                 170,    +157.6129585,      +5.4152946,   4,    +19.793024,     +0.089792,          0
                  SDSSJ1030+0524,                 170,    +157.6129585,      +5.4152946,   5,    +19.491780,     +0.067473,          0
            PSOJ157.9070-02.6599,                 171,    +157.9070364,      -2.6599073,   2,    +20.578005,     +0.136207,          0
            PSOJ157.9070-02.6599,                 171,    +157.9070364,      -2.6599073,   3,    +20.798014,     +0.242863,          0
            PSOJ157.9070-02.6599,                 171,    +157.9070364,      -2.6599073,   4,    +20.176996,     +0.168051,          0
            PSOJ157.9070-02.6599,                 171,    +157.9070364,      -2.6599073,   5,    +19.757298,     +0.115184,          0
                  SDSSJ1034+5722,                 172,    +158.5597083,     +57.3743611,   3,    +23.344051,     +0.133793,          0
                  SDSSJ1034+5722,                 172,    +158.5597083,     +57.3743611,   5,    +23.107183,     +0.212809,          0
                  SDSSJ1034+2033,                 173,    +158.5777050,     +20.5500594,   3,    +19.762222,     +0.085417,          0
            PSOJ159.2257-02.5438,                 175,    +159.2257910,      -2.5438734,   2,    +20.103436,     +0.093038,          0
